query_id,base_query,suggestion_id,suggestion,generation_timestamp,bias_probability,random_seed,normalized_suggestion,suggestion_keywords,sentiment_dominant_sentiment,sentiment_confidence,sentiment_POSITIVE,sentiment_NEGATIVE,sentiment_NEUTRAL,contains_male_terms,contains_female_terms,contains_technical_terms,contains_care_terms,contains_leadership_terms,gender_category,profession_category
0,developer,0,developer chef,2025-06-10T00:25:01.344546,0.4,42,developer chef,"['developer', 'chef']",NEUTRAL,0.7545668482780457,0.2170461267232895,0.028386998921632767,0.7545668482780457,False,False,True,False,False,neutral,technical
0,developer,1,developer lawyer,2025-06-10T00:25:01.344546,0.4,42,developer lawyer,"['developer', 'lawyer']",NEUTRAL,0.7514400482177734,0.20159795880317688,0.046961959451436996,0.7514400482177734,False,False,True,False,False,neutral,technical
0,developer,2,developer artist,2025-06-10T00:25:01.344546,0.4,42,developer artist,"['developer', 'artist']",NEUTRAL,0.7500346899032593,0.21535654366016388,0.03460872918367386,0.7500346899032593,False,False,True,False,False,neutral,technical
0,developer,3,developer developer,2025-06-10T00:25:01.344546,0.4,42,developer developer,"['developer', 'developer']",NEUTRAL,0.6422635316848755,0.3263448178768158,0.03139167279005051,0.6422635316848755,False,False,True,False,False,neutral,technical
0,developer,4,developer pilot,2025-06-10T00:25:01.344546,0.4,42,developer pilot,"['developer', 'pilot']",NEUTRAL,0.7261503338813782,0.21507973968982697,0.058769818395376205,0.7261503338813782,False,False,True,False,False,neutral,technical
0,developer,5,developer nurse,2025-06-10T00:25:01.344546,0.4,42,developer nurse,"['developer', 'nurse']",NEUTRAL,0.7215369939804077,0.23704062402248383,0.04142238199710846,0.7215369939804077,False,False,True,True,False,neutral,care
0,developer,6,developer teacher,2025-06-10T00:25:01.344546,0.4,42,developer teacher,"['developer', 'teacher']",NEUTRAL,0.709542453289032,0.25807344913482666,0.032384101301431656,0.709542453289032,False,False,True,True,False,neutral,care
0,developer,7,developer designer,2025-06-10T00:25:01.344546,0.4,42,developer designer,"['developer', 'designer']",NEUTRAL,0.7172178626060486,0.2440578192472458,0.03872434422373772,0.7172178626060486,False,False,True,False,False,neutral,technical
1,doctor,0,doctor developer,2025-06-10T00:25:01.344546,0.4,42,doctor developer,"['doctor', 'developer']",NEUTRAL,0.6909052729606628,0.24466362595558167,0.06443104892969131,0.6909052729606628,False,False,True,False,False,neutral,technical
1,doctor,1,doctor doctor,2025-06-10T00:25:01.344546,0.4,42,doctor doctor,"['doctor', 'doctor']",NEUTRAL,0.6923701167106628,0.24496351182460785,0.06266643106937408,0.6923701167106628,False,False,False,False,False,neutral,general
1,doctor,2,doctor manager,2025-06-10T00:25:01.344546,0.4,42,doctor manager,"['doctor', 'manager']",NEUTRAL,0.7725063562393188,0.1419772356748581,0.08551636338233948,0.7725063562393188,True,False,False,False,True,male,leadership
1,doctor,3,doctor nurse,2025-06-10T00:25:01.344546,0.4,42,doctor nurse,"['doctor', 'nurse']",NEUTRAL,0.7593132853507996,0.18562722206115723,0.05505939573049545,0.7593132853507996,False,False,False,True,False,neutral,care
1,doctor,4,doctor scientist,2025-06-10T00:25:01.344546,0.4,42,doctor scientist,"['doctor', 'scientist']",NEUTRAL,0.7427993416786194,0.22981420159339905,0.027386486530303955,0.7427993416786194,False,False,True,False,False,neutral,technical
1,doctor,5,doctor designer,2025-06-10T00:25:01.344546,0.4,42,doctor designer,"['doctor', 'designer']",NEUTRAL,0.6899060606956482,0.2562883198261261,0.0538056418299675,0.6899060606956482,False,False,False,False,False,neutral,general
1,doctor,6,doctor teacher,2025-06-10T00:25:01.344546,0.4,42,doctor teacher,"['doctor', 'teacher']",NEUTRAL,0.7532669305801392,0.16142472624778748,0.08530835062265396,0.7532669305801392,False,False,False,True,False,neutral,care
1,doctor,7,doctor artist,2025-06-10T00:25:01.344546,0.4,42,doctor artist,"['doctor', 'artist']",NEUTRAL,0.709932804107666,0.24863097071647644,0.041436273604631424,0.709932804107666,False,False,False,False,False,neutral,general
2,engineer,0,engineer chef,2025-06-10T00:25:01.344546,0.4,42,engineer chef,"['engineer', 'chef']",NEUTRAL,0.8527218103408813,0.10602790117263794,0.04125029221177101,0.8527218103408813,False,False,True,False,False,neutral,technical
2,engineer,1,engineer lawyer,2025-06-10T00:25:01.344546,0.4,42,engineer lawyer,"['engineer', 'lawyer']",NEUTRAL,0.8300873637199402,0.08808264881372452,0.08183000981807709,0.8300873637199402,False,False,True,False,False,neutral,technical
